site_ID,sample_dt,state_abb,HUC02_code,d2H__permil,d18O__permil,latitude,longitude,elevation__m,mean_annual_air_temp__degC,annual_precip__mm,d2H_precip_annual__permil,d18O_precip_annual__permil,dist2coast__km,d2H_precip_season_1__permil,d2H_precip_season_2__permil,d18O_precip_season_1__permil,d18O_precip_season_2__permil
USGS - 255910080085802,2011-07-06,FL,3,2.77,0.16,25.98663889,-80.1494444,2.877171594026211,24.6200008392334,1508.819980621338,-9.621558794959672,-2.4498441031957294,5.00694482421875,-8.398411671385578,-10.255265552859491,-2.431980477066552,-2.459099083899079
USGS - 255910080085802,2011-10-03,FL,3,0.2,-0.06,25.98663889,-80.1494444,2.877171594026211,24.6200008392334,1508.819980621338,-9.621558794959672,-2.4498441031957294,5.00694482421875,-8.398411671385578,-10.255265552859491,-2.431980477066552,-2.459099083899079
USGS - 255910080085802,2012-01-20,FL,3,2.36,-0.13,25.98663889,-80.1494444,2.877171594026211,24.6200008392334,1508.819980621338,-9.621558794959672,-2.4498441031957294,5.00694482421875,-8.398411671385578,-10.255265552859491,-2.431980477066552,-2.459099083899079
USGS - 255917080083201,1996-06-07,FL,3,2.1,0.03,25.9884245,-80.1419899,1.5239256324291375,24.65999984741211,1516.5800094604492,-9.60827411984995,-2.450305129834464,5.00694482421875,-8.427346803030485,-10.236663521629731,-2.4357485180761,-2.458050798726078
USGS - 255919080091202,2011-01-25,FL,3,-9.37,-2.23,25.98891667,-80.1532222,3.309966473636086,24.6200008392334,1508.819980621338,-9.621558794959672,-2.4498441031957294,10.0138896484375,-8.398411671385578,-10.255265552859491,-2.431980477066552,-2.459099083899079
USGS - 255919080091202,2011-02-02,FL,3,-10.36,-2.25,25.98891667,-80.1532222,3.309966473636086,24.6200008392334,1508.819980621338,-9.621558794959672,-2.4498441031957294,10.0138896484375,-8.398411671385578,-10.255265552859491,-2.431980477066552,-2.459099083899079
USGS - 255919080091202,2011-04-14,FL,3,-9.52,-2.13,25.98891667,-80.1532222,3.309966473636086,24.6200008392334,1508.819980621338,-9.621558794959672,-2.4498441031957294,10.0138896484375,-8.398411671385578,-10.255265552859491,-2.431980477066552,-2.459099083899079
USGS - 255919080091202,2011-05-04,FL,3,-11.83,-2.34,25.98891667,-80.1532222,3.309966473636086,24.6200008392334,1508.819980621338,-9.621558794959672,-2.4498441031957294,10.0138896484375,-8.398411671385578,-10.255265552859491,-2.431980477066552,-2.459099083899079
USGS - 255919080091202,2011-06-03,FL,3,-11.24,-2.3,25.98891667,-80.1532222,3.309966473636086,24.6200008392334,1508.819980621338,-9.621558794959672,-2.4498441031957294,10.0138896484375,-8.398411671385578,-10.255265552859491,-2.431980477066552,-2.459099083899079
USGS - 255919080091202,2011-07-07,FL,3,-9.46,-2.24,25.98891667,-80.1532222,3.309966473636086,24.6200008392334,1508.819980621338,-9.621558794959672,-2.4498441031957294,10.0138896484375,-8.398411671385578,-10.255265552859491,-2.431980477066552,-2.459099083899079
USGS - 255919080091202,2011-08-17,FL,3,-8.91,-2.15,25.98891667,-80.1532222,3.309966473636086,24.6200008392334,1508.819980621338,-9.621558794959672,-2.4498441031957294,10.0138896484375,-8.398411671385578,-10.255265552859491,-2.431980477066552,-2.459099083899079
USGS - 255919080091202,2011-09-14,FL,3,-10.48,-2.22,25.98891667,-80.1532222,3.309966473636086,24.6200008392334,1508.819980621338,-9.621558794959672,-2.4498441031957294,10.0138896484375,-8.398411671385578,-10.255265552859491,-2.431980477066552,-2.459099083899079
USGS - 255919080091202,2011-10-03,FL,3,-11.68,-2.31,25.98891667,-80.1532222,3.309966473636086,24.6200008392334,1508.819980621338,-9.621558794959672,-2.4498441031957294,10.0138896484375,-8.398411671385578,-10.255265552859491,-2.431980477066552,-2.459099083899079
USGS - 255919080091202,2011-11-21,FL,3,-10.51,-2.24,25.98891667,-80.1532222,3.309966473636086,24.6200008392334,1508.819980621338,-9.621558794959672,-2.4498441031957294,10.0138896484375,-8.398411671385578,-10.255265552859491,-2.431980477066552,-2.459099083899079
USGS - 255919080091202,2011-12-13,FL,3,-8.71,-2.09,25.98891667,-80.1532222,3.309966473636086,24.6200008392334,1508.819980621338,-9.621558794959672,-2.4498441031957294,10.0138896484375,-8.398411671385578,-10.255265552859491,-2.431980477066552,-2.459099083899079
USGS - 255919080091202,2012-01-11,FL,3,-8.5,-2.19,25.98891667,-80.1532222,3.309966473636086,24.6200008392334,1508.819980621338,-9.621558794959672,-2.4498441031957294,10.0138896484375,-8.398411671385578,-10.255265552859491,-2.431980477066552,-2.459099083899079
USGS - 255936080091701,2011-01-25,FL,3,-9.75,-2.2,25.99371667,-80.1550611,3.937823834196891,24.6200008392334,1508.819980621338,-9.623760399900547,-2.4490588783463103,10.0138896484375,-8.429045909000306,-10.242736337062656,-2.434782690283381,-2.4564552233537085
USGS - 255936080091701,2011-02-02,FL,3,-11.64,-2.52,25.99371667,-80.1550611,3.937823834196891,24.6200008392334,1508.819980621338,-9.623760399900547,-2.4490588783463103,10.0138896484375,-8.429045909000306,-10.242736337062656,-2.434782690283381,-2.4564552233537085
USGS - 255936080091701,2011-04-01,FL,3,-10.32,-2.39,25.99371667,-80.1550611,3.937823834196891,24.6200008392334,1508.819980621338,-9.623760399900547,-2.4490588783463103,10.0138896484375,-8.429045909000306,-10.242736337062656,-2.434782690283381,-2.4564552233537085
USGS - 255936080091701,2011-05-04,FL,3,-11.54,-2.49,25.99371667,-80.1550611,3.937823834196891,24.6200008392334,1508.819980621338,-9.623760399900547,-2.4490588783463103,10.0138896484375,-8.429045909000306,-10.242736337062656,-2.434782690283381,-2.4564552233537085
USGS - 255936080091701,2011-06-03,FL,3,-11.48,-2.52,25.99371667,-80.1550611,3.937823834196891,24.6200008392334,1508.819980621338,-9.623760399900547,-2.4490588783463103,10.0138896484375,-8.429045909000306,-10.242736337062656,-2.434782690283381,-2.4564552233537085
USGS - 255936080091701,2011-07-07,FL,3,-10.65,-2.38,25.99371667,-80.1550611,3.937823834196891,24.6200008392334,1508.819980621338,-9.623760399900547,-2.4490588783463103,10.0138896484375,-8.429045909000306,-10.242736337062656,-2.434782690283381,-2.4564552233537085
USGS - 255936080091701,2011-08-22,FL,3,-10.56,-2.43,25.99371667,-80.1550611,3.937823834196891,24.6200008392334,1508.819980621338,-9.623760399900547,-2.4490588783463103,10.0138896484375,-8.429045909000306,-10.242736337062656,-2.434782690283381,-2.4564552233537085
USGS - 255936080091701,2011-09-14,FL,3,-11.66,-2.52,25.99371667,-80.1550611,3.937823834196891,24.6200008392334,1508.819980621338,-9.623760399900547,-2.4490588783463103,10.0138896484375,-8.429045909000306,-10.242736337062656,-2.434782690283381,-2.4564552233537085
USGS - 255936080091701,2011-10-03,FL,3,-11.65,-2.51,25.99371667,-80.1550611,3.937823834196891,24.6200008392334,1508.819980621338,-9.623760399900547,-2.4490588783463103,10.0138896484375,-8.429045909000306,-10.242736337062656,-2.434782690283381,-2.4564552233537085
USGS - 255936080091701,2011-11-21,FL,3,-12,-2.5,25.99371667,-80.1550611,3.937823834196891,24.6200008392334,1508.819980621338,-9.623760399900547,-2.4490588783463103,10.0138896484375,-8.429045909000306,-10.242736337062656,-2.434782690283381,-2.4564552233537085
USGS - 255936080091701,2011-12-13,FL,3,-11.05,-2.59,25.99371667,-80.1550611,3.937823834196891,24.6200008392334,1508.819980621338,-9.623760399900547,-2.4490588783463103,10.0138896484375,-8.429045909000306,-10.242736337062656,-2.434782690283381,-2.4564552233537085
USGS - 255936080091701,2012-01-20,FL,3,-10.53,-2.54,25.99371667,-80.1550611,3.937823834196891,24.6200008392334,1508.819980621338,-9.623760399900547,-2.4490588783463103,10.0138896484375,-8.429045909000306,-10.242736337062656,-2.434782690283381,-2.4564552233537085
USGS - 260031080110401,2016-06-23,FL,3,-10.1,-2.37,26.0086111,-80.1845,NaN,24.6200008392334,1508.819980621338,-9.601951695328681,-2.4486200601964105,10.0096513671875,-8.435573621099042,-10.206246661666272,-2.4373553862548305,-2.4544561531329037
USGS - 260041080093102,2011-01-25,FL,3,-15.29,-3.32,26.0115361,-80.1585111,4.114599207558671,24.6200008392334,1508.819980621338,-9.609902366508086,-2.4475487310186037,10.0096513671875,-8.438871343835848,-10.216608004486014,-2.4361040778500787,-2.453478070429934
USGS - 260041080093102,2011-04-14,FL,3,-16.68,-3.31,26.0115361,-80.1585111,4.114599207558671,24.6200008392334,1508.819980621338,-9.609902366508086,-2.4475487310186037,10.0096513671875,-8.438871343835848,-10.216608004486014,-2.4361040778500787,-2.453478070429934
USGS - 260041080093102,2011-07-07,FL,3,-14.47,-3.09,26.0115361,-80.1585111,4.114599207558671,24.6200008392334,1508.819980621338,-9.609902366508086,-2.4475487310186037,10.0096513671875,-8.438871343835848,-10.216608004486014,-2.4361040778500787,-2.453478070429934
USGS - 260041080093102,2011-10-03,FL,3,-16.92,-3.35,26.0115361,-80.1585111,4.114599207558671,24.6200008392334,1508.819980621338,-9.609902366508086,-2.4475487310186037,10.0096513671875,-8.438871343835848,-10.216608004486014,-2.4361040778500787,-2.453478070429934
USGS - 260041080093102,2012-01-20,FL,3,-15.09,-3.25,26.0115361,-80.1585111,4.114599207558671,24.6200008392334,1508.819980621338,-9.609902366508086,-2.4475487310186037,10.0096513671875,-8.438871343835848,-10.216608004486014,-2.4361040778500787,-2.453478070429934
USGS - 260056080125501,2016-08-29,FL,3,-9.3,-2.19,26.01564608,-80.2461599,NaN,24.56999969482422,1490.3399925231934,-9.669793409223361,-2.4642023509973496,15.0144765625,-8.552004635538749,-10.221763517299907,-2.4606375923635007,-2.4659625828536025
USGS - 260230080142503,2016-06-23,FL,3,-11.1,-2.44,26.04203395,-80.2400485,NaN,24.540000915527344,1505.7299995422363,-9.580196833468127,-2.448796101493957,15.0144765625,-8.400115976914194,-10.167525624992754,-2.4374909710895274,-2.4544226446007804
USGS - 260242080101101,2011-01-25,FL,3,0.86,-0.33,26.04583333,-80.1681944,3.505028954587016,24.600000381469727,1517.8099975585937,-9.5640924699558,-2.4408133475862215,10.0096513671875,-8.426482400691974,-10.170230200139109,-2.4323097527939344,-2.4453443515950295
USGS - 260242080101101,2011-04-14,FL,3,-0.5,-0.54,26.04583333,-80.1681944,3.505028954587016,24.600000381469727,1517.8099975585937,-9.5640924699558,-2.4408133475862215,10.0096513671875,-8.426482400691974,-10.170230200139109,-2.4323097527939344,-2.4453443515950295
USGS - 260242080101101,2011-07-06,FL,3,1.16,-0.31,26.04583333,-80.1681944,3.505028954587016,24.600000381469727,1517.8099975585937,-9.5640924699558,-2.4408133475862215,10.0096513671875,-8.426482400691974,-10.170230200139109,-2.4323097527939344,-2.4453443515950295
USGS - 260242080101101,2011-10-04,FL,3,-0.81,-0.61,26.04583333,-80.1681944,3.505028954587016,24.600000381469727,1517.8099975585937,-9.5640924699558,-2.4408133475862215,10.0096513671875,-8.426482400691974,-10.170230200139109,-2.4323097527939344,-2.4453443515950295
USGS - 260242080101101,2012-01-30,FL,3,0.13,-0.56,26.04583333,-80.1681944,3.505028954587016,24.600000381469727,1517.8099975585937,-9.5640924699558,-2.4408133475862215,10.0096513671875,-8.426482400691974,-10.170230200139109,-2.4323097527939344,-2.4453443515950295
USGS - 260247081414104,2000-06-28,FL,3,4,0.1,26.04644444,-81.6906667,NaN,23.469999313354492,1420.759994506836,-9.524744754912595,-2.382610796582624,11.4420498046875,-7.939047718810241,-10.012601145043291,-2.3596523896732364,-2.3896742237392252
USGS - 260325080113901,2011-09-13,FL,3,3.45,0.36,26.05777778,-80.19388889,1.8226150563852483,24.559999465942383,1515.6700057983398,-9.59012104684729,-2.4440946347813894,10.0054052734375,-8.427615117526233,-10.187285661028609,-2.4341478055647365,-2.4492042853145697
USGS - 260325080113901,2011-11-30,FL,3,4.28,0.53,26.05777778,-80.19388889,1.8226150563852483,24.559999465942383,1515.6700057983398,-9.59012104684729,-2.4440946347813894,10.0054052734375,-8.427615117526233,-10.187285661028609,-2.4341478055647365,-2.4492042853145697
USGS - 260325080113901,2011-12-22,FL,3,3.45,0.4,26.05777778,-80.19388889,1.8226150563852483,24.559999465942383,1515.6700057983398,-9.59012104684729,-2.4440946347813894,10.0054052734375,-8.427615117526233,-10.187285661028609,-2.4341478055647365,-2.4492042853145697
USGS - 260325080113901,2012-01-23,FL,3,4.36,0.46,26.05777778,-80.19388889,1.8226150563852483,24.559999465942383,1515.6700057983398,-9.59012104684729,-2.4440946347813894,10.0054052734375,-8.427615117526233,-10.187285661028609,-2.4341478055647365,-2.4492042853145697
USGS - 260325080113901,2012-02-27,FL,3,3.64,0.4,26.05777778,-80.19388889,1.8226150563852483,24.559999465942383,1515.6700057983398,-9.59012104684729,-2.4440946347813894,10.0054052734375,-8.427615117526233,-10.187285661028609,-2.4341478055647365,-2.4492042853145697
USGS - 260331080183001,2016-08-29,FL,3,-3.9,-0.91,26.05863889,-80.3084583,NaN,24.540000915527344,1483.099983215332,-9.621168228135346,-2.4626065801549637,25.013509765625,-8.499213839731492,-10.162801695530876,-2.4593879554651816,-2.464160381299236
USGS - 260342080115901,1996-06-13,FL,3,7.6,1.12,26.06169444,-80.1997222,1.2191405059433098,24.559999465942383,1515.6700057983398,-9.59012104684729,-2.4440946347813894,10.0054052734375,-8.427615117526233,-10.187285661028609,-2.4341478055647365,-2.4492042853145697
USGS - 260534080110801,2011-01-24,FL,3,-0.06,-0.19,26.09325,-80.1855556,1.5239256324291375,24.59000015258789,1524.6000175476074,-9.53828853023936,-2.4371717323134643,10.0054052734375,-8.434043638723033,-10.125151161035811,-2.4325737281850386,-2.439615289201671
USGS - 260534080110801,2011-05-04,FL,3,0.18,-0.19,26.09325,-80.1855556,1.5239256324291375,24.59000015258789,1524.6000175476074,-9.53828853023936,-2.4371717323134643,10.0054052734375,-8.434043638723033,-10.125151161035811,-2.4325737281850386,-2.439615289201671
USGS - 260534080110801,2011-07-01,FL,3,0.01,-0.22,26.09325,-80.1855556,1.5239256324291375,24.59000015258789,1524.6000175476074,-9.53828853023936,-2.4371717323134643,10.0054052734375,-8.434043638723033,-10.125151161035811,-2.4325737281850386,-2.439615289201671
USGS - 260534080110801,2011-10-27,FL,3,-1.26,-0.34,26.09325,-80.1855556,1.5239256324291375,24.59000015258789,1524.6000175476074,-9.53828853023936,-2.4371717323134643,10.0054052734375,-8.434043638723033,-10.125151161035811,-2.4325737281850386,-2.439615289201671
USGS - 260534080110801,2012-01-20,FL,3,1.51,-0.18,26.09325,-80.1855556,1.5239256324291375,24.59000015258789,1524.6000175476074,-9.53828853023936,-2.4371717323134643,10.0054052734375,-8.434043638723033,-10.125151161035811,-2.4325737281850386,-2.439615289201671
USGS - 260725080162101,2016-06-22,FL,3,-2.1,-0.63,26.12405,-80.27233889,NaN,24.5,1469.7800064086914,-9.556634971488327,-2.4472861443622778,20.002302734375,-8.481691057732053,-10.074267396785565,-2.4519369622040643,-2.4450466299382487
USGS - 260755080191701,2016-08-23,FL,3,3.6,0.5,26.13258623,-80.3203282,2.4382810118866196,24.520000457763672,1413.0500259399414,-9.610184542994189,-2.4571848979845563,25.002876953125,-8.539030601385907,-10.109931355135977,-2.464981558822618,-2.4535474263337793
USGS - 260804080092701,2011-01-24,FL,3,0.25,-0.36,26.13480556,-80.1603056,1.7982322462663822,24.579999923706055,1532.1899795532227,-9.536491841546088,-2.4325098632166275,10.00115234375,-8.510958382945583,-10.074623809002151,-2.438108021990731,-2.429572226325561
USGS - 260804080092701,2011-05-05,FL,3,-0.96,-0.45,26.13480556,-80.1603056,1.7982322462663822,24.579999923706055,1532.1899795532227,-9.536491841546088,-2.4325098632166275,10.00115234375,-8.510958382945583,-10.074623809002151,-2.438108021990731,-2.429572226325561
USGS - 260804080092701,2011-07-01,FL,3,0.01,-0.42,26.13480556,-80.1603056,1.7982322462663822,24.579999923706055,1532.1899795532227,-9.536491841546088,-2.4325098632166275,10.00115234375,-8.510958382945583,-10.074623809002151,-2.438108021990731,-2.429572226325561
USGS - 260804080092701,2011-10-27,FL,3,-0.67,-0.54,26.13480556,-80.1603056,1.7982322462663822,24.579999923706055,1532.1899795532227,-9.536491841546088,-2.4325098632166275,10.00115234375,-8.510958382945583,-10.074623809002151,-2.438108021990731,-2.429572226325561
USGS - 260804080092701,2012-01-20,FL,3,0.67,-0.4,26.13480556,-80.1603056,1.7982322462663822,24.579999923706055,1532.1899795532227,-9.536491841546088,-2.4325098632166275,10.00115234375,-8.510958382945583,-10.074623809002151,-2.438108021990731,-2.429572226325561
USGS - 260820080141001,2016-06-22,FL,3,-4.5,-1.12,26.12855556,-80.2354444,2.4382810118866196,24.489999771118164,1505.4100227355957,-9.539923059308512,-2.4409143281760497,15.0017275390625,-8.458492510710295,-10.07855068204651,-2.442313928801828,-2.440217257665757
USGS - 260920080092201,2011-01-24,FL,3,-8.72,-1.98,26.156,-80.156,1.5848826577263029,24.56999969482422,1517.279987335205,-9.463060919504661,-2.420477066695367,9.996890625,-8.433591362824192,-9.998386312162516,-2.427035992054005,-2.4170665219995917
USGS - 260920080092201,2011-05-03,FL,3,-8.46,-1.95,26.156,-80.156,1.5848826577263029,24.56999969482422,1517.279987335205,-9.463060919504661,-2.420477066695367,9.996890625,-8.433591362824192,-9.998386312162516,-2.427035992054005,-2.4170665219995917
USGS - 260920080092201,2011-07-01,FL,3,-9.28,-2.06,26.156,-80.156,1.5848826577263029,24.56999969482422,1517.279987335205,-9.463060919504661,-2.420477066695367,9.996890625,-8.433591362824192,-9.998386312162516,-2.427035992054005,-2.4170665219995917
USGS - 260920080092201,2011-10-27,FL,3,-7.35,-1.67,26.156,-80.156,1.5848826577263029,24.56999969482422,1517.279987335205,-9.463060919504661,-2.420477066695367,9.996890625,-8.433591362824192,-9.998386312162516,-2.427035992054005,-2.4170665219995917
USGS - 260920080092201,2012-01-20,FL,3,-7.16,-1.81,26.156,-80.156,1.5848826577263029,24.56999969482422,1517.279987335205,-9.463060919504661,-2.420477066695367,9.996890625,-8.433591362824192,-9.998386312162516,-2.427035992054005,-2.4170665219995917
USGS - 261018081484101,2000-06-09,FL,3,-10.3,-1.89,26.1721111,-81.8115556,2.0451081987199022,23.559999465942383,1383.1599960327148,-9.577610267513373,-2.386285898607441,7.46199267578125,-8.27330010694335,-10.00819966528177,-2.3953795219812006,-2.383283928250341
USGS - 261030080083301,2011-01-24,FL,3,-7.92,-2.07,26.17553889,-80.1425417,1.950624809509296,24.600000381469727,1539.6900100708008,-9.5310815854880655,-2.4303250653861124,4.9984453125,-8.641659846825583,-10.005840852936744,-2.4531540847272084,-2.4181391126869007
USGS - 261030080083301,2011-05-05,FL,3,-8.93,-2.12,26.17553889,-80.1425417,1.950624809509296,24.600000381469727,1539.6900100708008,-9.5310815854880655,-2.4303250653861124,4.9984453125,-8.641659846825583,-10.005840852936744,-2.4531540847272084,-2.4181391126869007
USGS - 261030080083301,2011-07-12,FL,3,-8.92,-2.13,26.17553889,-80.1425417,1.950624809509296,24.600000381469727,1539.6900100708008,-9.5310815854880655,-2.4303250653861124,4.9984453125,-8.641659846825583,-10.005840852936744,-2.4531540847272084,-2.4181391126869007
USGS - 261030080083301,2011-10-27,FL,3,-8.28,-2.02,26.17553889,-80.1425417,1.950624809509296,24.600000381469727,1539.6900100708008,-9.5310815854880655,-2.4303250653861124,4.9984453125,-8.641659846825583,-10.005840852936744,-2.4531540847272084,-2.4181391126869007
USGS - 261030080083301,2012-01-20,FL,3,-7.63,-2.07,26.17553889,-80.1425417,1.950624809509296,24.600000381469727,1539.6900100708008,-9.5310815854880655,-2.4303250653861124,4.9984453125,-8.641659846825583,-10.005840852936744,-2.4531540847272084,-2.4181391126869007
USGS - 261048081484801,2000-05-31,FL,3,-3.7,-1.34,26.1807222,-81.81313889,1.2191405059433098,23.510000228881836,1384.139991760254,-9.563453593851866,-2.3842758835565006,7.46199267578125,-8.2710632276584,-9.990994985473796,-2.3949797081749438,-2.3807349580519164
USGS - 261052081413801,2000-06-16,FL,3,-3.6,-1.31,26.1809722,-81.69388889,NaN,23.639999389648438,1418.8800010681152,-9.581292989834504,-2.3846495966082775,20.75109375,-8.234596503903706,-10.003005005256833,-2.3933779751368225,-2.3819163523277447
USGS - 261117081480101,2000-06-08,FL,3,-16.3,-3.14,26.18827778,-81.80063889,3.840292593721426,23.579999923706055,1379.9999809265137,-9.586101397547214,-2.3874217141758907,7.46199267578125,-8.372770601879324,-9.987611940120424,-2.4095731168078762,-2.380091508324727
USGS - 261200080152301,2016-06-22,FL,3,-2.1,-0.62,26.20036134,-80.25615979,4.471197805547089,24.469999313354492,1463.2700080871582,-9.558865576013577,-2.4332991236621924,19.9852421875,-8.722898212666712,-9.974377665996156,-2.46680156387709,-2.4166469886654687
USGS - 261304080072501,2011-01-24,FL,3,-8.47,-2.1,26.2182222,-80.1235278,2.0725388601036268,24.600000381469727,1513.550006866455,-9.465432815220671,-2.4124306017198593,4.99631103515625,-8.524540177459713,-9.96810227154064,-2.428207806273067,-2.404001780390068
USGS - 261304080072501,2011-05-03,FL,3,-7.76,-1.96,26.2182222,-80.1235278,2.0725388601036268,24.600000381469727,1513.550006866455,-9.465432815220671,-2.4124306017198593,4.99631103515625,-8.524540177459713,-9.96810227154064,-2.428207806273067,-2.404001780390068
USGS - 261304080072501,2011-07-06,FL,3,-7.01,-1.76,26.2182222,-80.1235278,2.0725388601036268,24.600000381469727,1513.550006866455,-9.465432815220671,-2.4124306017198593,4.99631103515625,-8.524540177459713,-9.96810227154064,-2.428207806273067,-2.404001780390068
USGS - 261304080072501,2011-10-27,FL,3,-7.63,-1.91,26.2182222,-80.1235278,2.0725388601036268,24.600000381469727,1513.550006866455,-9.465432815220671,-2.4124306017198593,4.99631103515625,-8.524540177459713,-9.96810227154064,-2.428207806273067,-2.404001780390068
USGS - 261304080072501,2012-01-20,FL,3,-7.81,-1.89,26.2182222,-80.1235278,2.0725388601036268,24.600000381469727,1513.550006866455,-9.465432815220671,-2.4124306017198593,4.99631103515625,-8.524540177459713,-9.96810227154064,-2.428207806273067,-2.404001780390068
USGS - 261403080070801,2011-01-28,FL,3,-11.65,-2.61,26.23435,-80.1188667,5.303261200853398,24.56999969482422,1498.9400024414062,-9.45213298335172,-2.4097478821054716,4.99631103515625,-8.459548556076143,-9.988438454960166,-2.417620036209207,-2.405494305393806
USGS - 261403080070801,2011-04-19,FL,3,-11.71,-2.61,26.23435,-80.1188667,5.303261200853398,24.56999969482422,1498.9400024414062,-9.45213298335172,-2.4097478821054716,4.99631103515625,-8.459548556076143,-9.988438454960166,-2.417620036209207,-2.405494305393806
USGS - 261403080070801,2011-07-12,FL,3,-10.77,-2.59,26.23435,-80.1188667,5.303261200853398,24.56999969482422,1498.9400024414062,-9.45213298335172,-2.4097478821054716,4.99631103515625,-8.459548556076143,-9.988438454960166,-2.417620036209207,-2.405494305393806
USGS - 261403080070801,2011-10-20,FL,3,-12.96,-2.72,26.23435,-80.1188667,5.303261200853398,24.56999969482422,1498.9400024414062,-9.45213298335172,-2.4097478821054716,4.99631103515625,-8.459548556076143,-9.988438454960166,-2.417620036209207,-2.405494305393806
USGS - 261403080070801,2012-01-27,FL,3,-11.94,-2.71,26.23435,-80.1188667,5.303261200853398,24.56999969482422,1498.9400024414062,-9.45213298335172,-2.4097478821054716,4.99631103515625,-8.459548556076143,-9.988438454960166,-2.417620036209207,-2.405494305393806
USGS - 261441080153602,2016-06-21,FL,3,-3,-1.12,26.2448041,-80.2597709,NaN,24.399999618530273,1437.7999801635742,-9.549452102934074,-2.428904029106428,19.9852421875,-8.853247862603553,-9.897994514400413,-2.479985116602633,-2.4033314050973775
USGS - 261446080062801,2011-04-19,FL,3,-9.89,-2.26,26.24695,-80.1075833,4.084120694910088,24.56999969482422,1498.9400024414062,-9.42872768171396,-2.40533379115428,4.99631103515625,-8.457515259146135,-9.95348558722924,-2.41602906811091,-2.3995548453251105
USGS - 261446080062801,2011-07-12,FL,3,-7.91,-2,26.24695,-80.1075833,4.084120694910088,24.56999969482422,1498.9400024414062,-9.42872768171396,-2.40533379115428,4.99631103515625,-8.457515259146135,-9.95348558722924,-2.41602906811091,-2.3995548453251105
USGS - 261446080062801,2011-10-20,FL,3,-10.21,-2.21,26.24695,-80.1075833,4.084120694910088,24.56999969482422,1498.9400024414062,-9.42872768171396,-2.40533379115428,4.99631103515625,-8.457515259146135,-9.95348558722924,-2.41602906811091,-2.3995548453251105
USGS - 261446080062801,2012-01-27,FL,3,-8.4,-2.27,26.24695,-80.1075833,4.084120694910088,24.56999969482422,1498.9400024414062,-9.42872768171396,-2.40533379115428,4.99631103515625,-8.457515259146135,-9.95348558722924,-2.41602906811091,-2.3995548453251105
USGS - 261450080071601,2016-06-21,FL,3,-12,-2.91,26.24758155,-80.1208777,4.266991770801584,24.56999969482422,1498.9400024414062,-9.43261185583001,-2.4067993177460045,4.99631103515625,-8.462012172521264,-9.957038690241063,-2.417425304802385,-2.4010578100444655
USGS - 261537081461202,2000-04-06,FL,3,-3.5,-0.78,26.2604722,-81.7698056,3.6879000304785126,23.579999923706055,1392.8100204467773,-9.661888038140228,-2.3987134737055045,18.639083984375,-8.612537770209707,-10.006145317708306,-2.4425699215793735,-2.3843257187974585
USGS - 261620081464401,2000-04-06,FL,3,-4.1,-0.74,26.2727222,-81.77863889,3.0234684547394086,23.549999237060547,1363.2599868774414,-9.684503853236922,-2.4023493919036087,18.639083984375,-8.730465354064233,-10.004991302436625,-2.4570897303340207,-2.3839606914998246
USGS - 261623081453501,2000-04-06,FL,3,-0.5,-0.56,26.27308333,-81.7597222,4.852179213654374,23.549999237060547,1401.0000076293945,-9.675697130153603,-2.4002017167117042,18.639083984375,-8.667247473185908,-10.01122020624708,-2.4489578709666846,-2.383979949237718
USGS - 261633080142401,2016-06-20,FL,3,-3.5,-1.29,26.27674734,-80.24032578,NaN,24.34000015258789,1397.9499893188477,-9.494618488264681,-2.418228099070389,14.9825185546875,-8.79205501407145,-9.849435905137524,-2.4672017998611953,-2.3934946600022715
USGS - 261716081441201,2000-04-27,FL,3,-2.1,-0.7,26.28788889,-81.7367778,NaN,23.549999237060547,1401.0000076293945,-9.680766374827982,-2.400372869124604,22.3817734375,-8.714243768706893,-10.002339824427299,-2.4545942721792766,-2.3823327486359176
USGS - 261805081473302,2000-04-05,FL,3,-9,-2.06,26.31591805,-81.7884199,4.215178299298994,23.530000686645508,1395.2400093078613,-9.634325040508982,-2.393666208085378,20.726421875,-8.720889251234867,-9.942047651262406,-2.4525118726656907,-2.3738419444981265
USGS - 261831080073201,2016-06-20,FL,3,-2.8,-1.03,26.30896819,-80.125322,NaN,24.530000686645508,1475.7799911499023,-9.362658364712642,-2.395814458091578,4.99203125,-8.494409882742977,-9.842753146729459,-2.415972313385671,-2.384668351571059
USGS - 261838080062001,2016-08-23,FL,3,-11.4,-2.54,26.31091253,-80.1053215,NaN,24.530000686645508,1475.7799911499023,-9.378415548206803,-2.396371113106974,4.99203125,-8.507109889012227,-9.860200784355191,-2.4163216677626513,-2.385339632639214
USGS - 262000080110001,2016-08-22,FL,3,-6.8,-1.62,26.343967,-80.1950463,4.571776897287412,24.309999465942383,1403.5399856567383,-9.355237358783256,-2.397804664573024,9.9840625,-8.595478957878505,-9.755843501766847,-2.434479058029949,-2.3784671205812957
USGS - 262022081464201,2000-04-05,FL,3,-3.7,-1.03,26.3400838,-81.7778638,2.7918317586101797,23.530000686645508,1395.2400093078613,-9.652658492887412,-2.3927448808174594,20.726421875,-8.799309114840913,-9.940138894569746,-2.4595084959293354,-2.370253178733963
USGS - 262042081455001,2000-04-26,FL,3,-3.1,-1.09,26.3456391,-81.7561965,4.352331606217616,23.520000457763672,1419.270004272461,-9.66400414918455,-2.395038227364987,20.726421875,-8.785567715344031,-9.958582382898426,-2.4591937264735524,-2.373524121418407
